layer,attn_mean,attn_std,no_attn_mean,no_attn_std,random_mean,random_std
0.000000000000000000e+00,2.433746719360351562e+01,1.835113644599914551e+00,2.433746719360351562e+01,1.835113644599914551e+00,2.433746719360351562e+01,1.835113644599914551e+00
1.000000000000000000e+00,1.849429321289062500e+01,2.198898315429687500e+00,2.313621902465820312e+01,2.637643337249755859e+00,9.449611663818359375e+01,8.816365242004394531e+00
2.000000000000000000e+00,1.687326049804687500e+01,1.917736649513244629e+00,2.267042732238769531e+01,2.585301399230957031e+00,8.643547058105468750e+01,8.645195007324218750e+00
3.000000000000000000e+00,1.021359062194824219e+01,1.172866344451904297e+00,1.683813476562500000e+01,1.864670515060424805e+00,3.411859893798828125e+01,5.225886821746826172e+00
4.000000000000000000e+00,1.109596061706542969e+01,1.369038343429565430e+00,1.684597587585449219e+01,1.864003658294677734e+00,3.283934783935546875e+01,4.999787807464599609e+00
5.000000000000000000e+00,1.170245456695556641e+01,1.442254424095153809e+00,1.683063888549804688e+01,1.849050521850585938e+00,3.128449630737304688e+01,4.701442718505859375e+00
6.000000000000000000e+00,1.384305095672607422e+01,1.851526618003845215e+00,1.695916748046875000e+01,1.830483555793762207e+00,3.039613723754882812e+01,4.490893363952636719e+00
7.000000000000000000e+00,1.555031108856201172e+01,2.090716361999511719e+00,1.711595535278320312e+01,1.843123078346252441e+00,2.998959732055664062e+01,4.347819328308105469e+00
8.000000000000000000e+00,1.849023437500000000e+01,2.577684402465820312e+00,1.736423492431640625e+01,1.888317584991455078e+00,3.003082847595214844e+01,4.268713951110839844e+00
9.000000000000000000e+00,2.022431564331054688e+01,2.779289007186889648e+00,1.776393508911132812e+01,1.962684750556945801e+00,3.060690879821777344e+01,4.236518859863281250e+00
1.000000000000000000e+01,2.164231872558593750e+01,2.931996583938598633e+00,1.835177230834960938e+01,2.073480606079101562e+00,3.183903121948242188e+01,4.301984786987304688e+00
1.100000000000000000e+01,2.156738471984863281e+01,2.922946214675903320e+00,1.895689582824707031e+01,2.192123651504516602e+00,3.394602203369140625e+01,4.437185764312744141e+00
1.200000000000000000e+01,1.860036468505859375e+01,2.523027896881103516e+00,1.749809455871582031e+01,2.390018463134765625e+00,4.048865890502929688e+01,5.037980079650878906e+00
